timestamp,tier_predicted,model_used,actual_cost,hypothetical_max_cost,savings_usd,latency_ms,escalated
2026-08-19T19:28:04.460800+00:00,low,claude-haiku-4-5-20251001,0.000145,0.00031,0.000165,1019.59,False
2026-08-19T19:28:08.226299+00:00,medium,gpt-4o-mini,6.9e-05,0.001153,0.001083,2055.06,False
2026-08-19T19:28:52.465849+00:00,high,claude-sonnet-4-6,0.020733,0.013838,-0.006896,34133.12,False
2026-08-20T14:13:50.393961+00:00,low,gpt-4o,0.000305,0.00031,0.0,7256.64,True
2026-08-20T14:14:03.368114+00:00,medium,gpt-4o,0.001733,0.001162,0.0,6963.4,True
2026-08-20T14:14:48.331031+00:00,high,gpt-4o,0.005888,0.014028,0.0,10619.81,True
